순위,회사명,공고명,근무지역,경력,학력
0,(주)엘티엔터테인먼트,제주 드림타워 복합리조트 [카지노&호텔] 대규모 신입/경력 공채,제주 제주시 외,신입 · 정규직 외,학력무관
1,현대종합금속(주),신입/경력 사원 모집,서울 강남구,신입 · 정규직,대학교(4년)↑
2,(주)인투알,[사세확장] 각 부서별 정규직 채용,경기 김포시 외,경력무관 · 정규직,학력무관
3,(주)더블티,2026년 전직군 신입/경력 채용,경기 수원시 권선구 외,경력무관 · 정규직 외,"대학(2,3년)↑"
4,한화에어로스페이스(주),2026년 상반기 항공사업부 전문직 채용전제형 인턴 채용,충남 아산시,신입 · 정규직 외,"대학(2,3년)↑"
5,에스케이바이오사이언스(주),26년 1월 신입/경력사원 수시채용,인천 연수구,경력무관 · 정규직,대학교(4년)↑
6,앰코테크놀로지코리아㈜,"[신입] 제조직(Operator) 정규직 모집 (인천 송도, 부평)",인천 연수구 외,신입 · 정규직,고졸↑
7,미창석유공업(주),상반기 신입사원 채용 공고,부산 영도구 외,신입 · 정규직,"대학(2,3년)↑"
8,쿠쿠홀딩스(주),쿠쿠전자㈜ 생산직 사원 경력무관 채용,경남 양산시 외,경력무관 · 정규직,고졸↑
9,충남콘텐츠진흥원(재),2026년 제1차 정규직 직원채용 공고,충남 아산시 외,신입 · 정규직,학력무관
