iter	Logloss
0	0.6833166068
1	0.673533674
2	0.6653494263
3	0.6571400234
4	0.6493946184
5	0.6425660052
6	0.6358997454
7	0.6301104736
8	0.6244634138
9	0.6193005371
10	0.6144426618
11	0.6098718698
12	0.6054452515
13	0.6013162667
14	0.5975648717
15	0.5936808559
16	0.5903366089
17	0.5867415946
18	0.583921596
19	0.5810356794
20	0.578212629
21	0.5761492048
22	0.5734961809
23	0.57124503
24	0.5688107736
25	0.5671865845
26	0.5654600307
27	0.5634769113
28	0.5615501186
29	0.5596687099
30	0.5581284005
31	0.5565694754
32	0.5548650251
33	0.553367484
34	0.5522019305
35	0.5508488682
36	0.5497201974
37	0.5480456979
38	0.5471851458
39	0.5463860212
40	0.5454458618
41	0.544216701
42	0.5432931519
43	0.542428894
44	0.5418566895
45	0.5408843994
46	0.5404421997
47	0.5396987479
48	0.5387640381
49	0.5377638027
50	0.5373251779
51	0.5366265433
52	0.5361270578
53	0.5357128034
54	0.5348662458
55	0.5344647217
56	0.5340651158
57	0.5334538051
58	0.5330397688
59	0.5323648071
60	0.5318106515
61	0.5314106097
62	0.5308893694
63	0.5303473336
64	0.5298940604
65	0.5296041434
66	0.5292640904
67	0.5287939453
68	0.5284864153
69	0.5278397042
70	0.5275575038
71	0.527258606
72	0.5267172677
73	0.5264034598
74	0.5261247907
75	0.5258391462
76	0.525687779
77	0.5253824289
78	0.5247501046
79	0.5243753924
80	0.5238389369
81	0.5234062413
82	0.5231420027
83	0.5228150286
84	0.52237854
85	0.5220952061
86	0.5217650059
87	0.5215190778
88	0.521240496
89	0.5210272217
90	0.5204027448
91	0.5201058524
92	0.5198792376
93	0.5196459089
94	0.5194451904
95	0.5191791207
96	0.5189936175
97	0.5188250296
98	0.5185395159
99	0.5182748849
100	0.5182121931
101	0.5178458514
102	0.5175382778
103	0.517354126
104	0.5170750209
105	0.5168837193
106	0.5166416713
107	0.516221793
108	0.5159767805
109	0.5153880092
110	0.5150690569
111	0.514866333
112	0.5147298758
113	0.5143284825
114	0.5139699009
115	0.5135457938
116	0.5132952009
117	0.5128608486
118	0.5127246966
119	0.5122126116
120	0.5119229998
121	0.5117670114
122	0.5113666643
123	0.5111795044
124	0.5110113525
125	0.5108357893
126	0.5107246617
127	0.5105658831
128	0.5103583636
129	0.5099391392
130	0.5096726772
131	0.5095166452
132	0.5092278617
133	0.5087776402
134	0.5085736084
135	0.508382176
136	0.5082294573
137	0.5078523472
138	0.5076603481
139	0.5075057547
140	0.5071849278
141	0.5069706508
142	0.5066660854
143	0.5064872524
144	0.506159014
145	0.5059877668
146	0.5058612932
147	0.505645752
148	0.50558524
149	0.5052400426
