iter	Passed	Remaining
0	3	502
1	5	378
2	6	326
3	10	380
4	13	382
5	16	395
6	19	407
7	21	387
8	23	369
9	25	360
10	27	353
11	30	349
12	32	345
13	36	353
14	37	341
15	41	343
16	42	333
17	44	327
18	47	329
19	49	322
20	53	327
21	55	325
22	57	318
23	60	319
24	63	317
25	65	313
26	67	306
27	68	300
28	70	294
29	72	289
30	75	290
31	77	284
32	78	278
33	81	277
34	84	278
35	85	271
36	88	269
37	90	266
38	92	262
39	94	259
40	97	259
41	101	261
42	103	256
43	105	254
44	109	254
45	112	254
46	114	251
47	117	250
48	119	247
49	123	247
50	128	248
51	130	246
52	133	244
53	135	241
54	138	239
55	140	236
56	143	234
57	146	231
58	149	230
59	151	227
60	154	225
61	156	222
62	159	220
63	162	218
64	165	216
65	167	213
66	170	211
67	173	208
68	175	206
69	178	203
70	181	202
71	183	199
72	187	197
73	188	193
74	191	191
75	192	187
76	196	186
77	198	182
78	199	179
79	202	177
80	205	175
81	207	172
82	210	170
83	212	167
84	216	165
85	218	162
86	220	159
87	222	157
88	226	155
89	228	152
90	229	149
91	231	145
92	233	143
93	235	140
94	236	137
95	238	133
96	239	130
97	241	127
98	243	125
99	245	122
100	247	119
101	249	117
102	251	114
103	254	112
104	256	110
105	259	107
106	261	104
107	263	102
108	265	99
109	270	98
110	272	95
111	274	92
112	276	90
113	278	87
114	280	85
115	282	82
116	284	80
117	286	77
118	289	75
119	293	73
120	295	70
121	296	68
122	299	65
123	301	63
124	302	60
125	305	58
126	309	56
127	312	53
128	315	51
129	317	48
130	319	46
131	323	44
132	325	41
133	328	39
134	330	36
135	333	34
136	335	31
137	338	29
138	340	26
139	342	24
140	345	22
141	347	19
142	350	17
143	353	14
144	356	12
145	357	9
146	360	7
147	362	4
148	365	2
149	367	0
